127.0.0.1 - - [04/Nov/2016:14:23:31 +0800] "GET / HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [04/Nov/2016:14:23:44 +0800] "GET /statics/images/m_jingzhi.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [04/Nov/2016:14:23:44 +0800] "GET /login HTTP/1.1" 200 4633
0:0:0:0:0:0:0:1 - - [04/Nov/2016:14:23:45 +0800] "GET /statics/css/base.css HTTP/1.1" 200 14554
0:0:0:0:0:0:0:1 - - [04/Nov/2016:14:23:45 +0800] "GET /statics/js/cookieHelper.js HTTP/1.1" 200 824
0:0:0:0:0:0:0:1 - - [04/Nov/2016:14:23:45 +0800] "GET /statics/css/footer.css HTTP/1.1" 200 2053
0:0:0:0:0:0:0:1 - - [04/Nov/2016:14:23:45 +0800] "GET /statics/images/mzh_dljm_7_8_5.gif HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [04/Nov/2016:14:23:45 +0800] "GET /statics/images/mzh_dljm_1_8_5.gif HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [04/Nov/2016:14:23:45 +0800] "GET /statics/images/m_jingzhi.png HTTP/1.1" 404 1050
0:0:0:0:0:0:0:1 - - [04/Nov/2016:14:23:45 +0800] "GET /statics/images/mzh_dljm_6_8_5.gif HTTP/1.1" 404 1060
